departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,02,15,00,2017,06,02,15,15,2017,06,02,16,40
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,02,16,00,2017,06,02,16,06,2017,06,02,17,42
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,02,17,00,2017,06,02,17,09,2017,06,02,18,38
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,02,18,00,2017,06,02,18,01,2017,06,02,19,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,02,19,00,2017,06,02,19,04,2017,06,02,20,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,02,21,00,2017,06,02,20,59,2017,06,02,22,26
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,03,07,00,2017,06,03,07,03,2017,06,03,08,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,03,09,00,2017,06,03,09,09,2017,06,03,10,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,03,10,00,2017,06,03,10,05,2017,06,03,11,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,03,11,00,2017,06,03,11,12,2017,06,03,12,42
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,03,13,00,2017,06,03,13,02,2017,06,03,14,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,03,14,00,2017,06,03,14,03,2017,06,03,15,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,03,15,00,2017,06,03,15,06,2017,06,03,16,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,03,17,00,2017,06,03,17,07,2017,06,03,18,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,03,19,00,2017,06,03,19,08,2017,06,03,20,38
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,03,21,00,2017,06,03,21,02,2017,06,03,22,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,03,07,00,2017,06,03,07,10,2017,06,03,08,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,03,08,00,2017,06,03,08,02,2017,06,03,09,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,03,09,00,2017,06,03,09,06,2017,06,03,10,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,03,11,00,2017,06,03,11,06,2017,06,03,12,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,03,12,00,2017,06,03,12,02,2017,06,03,13,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,03,13,00,2017,06,03,13,07,2017,06,03,14,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,03,15,00,2017,06,03,15,03,2017,06,03,16,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,03,17,00,2017,06,03,17,04,2017,06,03,18,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,03,19,00,2017,06,03,19,06,2017,06,03,20,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,03,21,00,2017,06,03,21,05,2017,06,03,22,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,04,07,00,2017,06,04,07,01,2017,06,04,08,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,04,09,00,2017,06,04,09,00,2017,06,04,10,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,04,11,00,2017,06,04,11,08,2017,06,04,12,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,04,12,00,2017,06,04,12,04,2017,06,04,13,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,04,13,00,2017,06,04,13,06,2017,06,04,14,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,04,14,00,2017,06,04,14,03,2017,06,04,15,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,04,15,00,2017,06,04,15,05,2017,06,04,16,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,06,04,16,00,2017,06,04,16,00,2017,06,04,17,26
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,04,18,00,2017,06,04,18,09,2017,06,04,19,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,04,19,00,2017,06,04,19,05,2017,06,04,20,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,04,21,00,2017,06,04,21,30,2017,06,04,22,56
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,04,22,00,2017,06,04,22,09,2017,06,04,23,44
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,04,07,00,2017,06,04,07,00,2017,06,04,08,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,04,09,00,2017,06,04,09,08,2017,06,04,10,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,04,11,00,2017,06,04,11,03,2017,06,04,12,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,04,12,00,2017,06,04,12,01,2017,06,04,13,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,04,13,00,2017,06,04,13,06,2017,06,04,14,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,04,14,00,2017,06,04,14,07,2017,06,04,15,28
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,04,15,00,2017,06,04,15,05,2017,06,04,16,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,04,16,00,2017,06,04,16,07,2017,06,04,17,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,04,17,00,2017,06,04,17,06,2017,06,04,18,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,06,04,18,00,2017,06,04,18,03,2017,06,04,19,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,06,04,19,00,2017,06,04,19,37,2017,06,04,21,00
Swartz Bay,Tsawwassen,Coastal Celebration,2017,06,04,20,00,2017,06,04,20,09,2017,06,04,21,46
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,06,04,21,00,2017,06,04,20,58,2017,06,04,22,27
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,05,07,00,2017,06,05,07,03,2017,06,05,08,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,06,05,09,00,2017,06,05,09,04,2017,06,05,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,06,05,10,00,2017,06,05,10,04,2017,06,05,11,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,06,05,11,00,2017,06,05,11,06,2017,06,05,12,40
